GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0100000US,,United States,0100000US,,United States,United States,308745538,308758105,309346863,311718857,314102623,316427395,318907401,321418820
0100000US,,United States,01000C0US,,United States - In metropolitan statistical area,In metropolitan statistical area,262452132,262464496,263044201,265420886,267857302,270231023,272736401,275252217
0100000US,,United States,310M200US10180,10180,"United States - Abilene, TX Metro Area","Abilene, TX Metro Area",165252,165252,165609,166639,167578,167549,168380,169578
0100000US,,United States,310M200US10420,10420,"United States - Akron, OH Metro Area","Akron, OH Metro Area",703200,703207,703119,703180,702674,703788,704835,704243
0100000US,,United States,310M200US10500,10500,"United States - Albany, GA Metro Area","Albany, GA Metro Area",157308,157500,157665,157805,157370,155864,155020,153526
0100000US,,United States,310M200US10540,10540,"United States - Albany, OR Metro Area","Albany, OR Metro Area",116672,116672,116890,118137,118359,118545,119269,120547
0100000US,,United States,310M200US10580,10580,"United States - Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy, NY Metro Area",870716,870713,871112,873222,875542,878542,880091,881830
0100000US,,United States,310M200US10740,10740,"United States - Albuquerque, NM Metro Area","Albuquerque, NM Metro Area",887077,887075,889625,897024,901103,903502,904720,907301
0100000US,,United States,310M200US10780,10780,"United States - Alexandria, LA Metro Area","Alexandria, LA Metro Area",153922,153922,154131,154408,154459,154785,154798,154484
0100000US,,United States,310M200US10900,10900,"United States - Allentown-Bethlehem-Easton, PA-NJ Metro Area","Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821303,822157,825219,827115,826766,829731,832327
0100000US,,United States,310M200US11020,11020,"United States - Altoona, PA Metro Area","Altoona, PA Metro Area",127089,127078,127051,127192,127015,126426,126016,125593
0100000US,,United States,310M200US11100,11100,"United States - Amarillo, TX Metro Area","Amarillo, TX Metro Area",251933,251933,252725,256069,257915,259061,260987,262056
